orig.ident,sample_prep,FACS,GEXlibrary,Sequencing
d14_cocaine_R1,2022/03/11,ARIA III,2022/03/13,Pool_1
h24_cocaine_R1,2022/03/11,ARIA FUSION,2022/03/13,Pool_1
h24_saline_R1,2022/03/22,ARIA III,2022/03/27,Pool_2
d14_cocaine_R2,2022/03/22,ARIA FUSION,2022/03/27,Pool_2
h1_cocaine_R1,2022/03/23,ARIA III,2022/03/27,Pool_2
h8_cocaine_R1,2022/03/23,ARIA FUSION,2022/03/27,Pool_2
h4_cocaine_R1,2022/03/24,ARIA III,2022/03/27,Pool_2
d14_saline_R1,2022/03/24,ARIA FUSION,2022/03/27,Pool_2
h8_saline_R1,2022/03/29,ARIA III,2022/04/15,Pool_2
h24_cocaine_R2,2022/03/29,ARIA FUSION,2022/04/15,Pool_2
h4_saline_R1,2022/03/30,ARIA III,2022/04/15,Pool_2
h1_cocaine_R2,2022/03/30,ARIA FUSION,2022/04/15,Pool_2
h8_cocaine_R2,2022/04/01,ARIA III,2022/04/15,Pool_2
h1_saline_R1,2022/04/01,ARIA FUSION,2022/04/15,Pool_2
h4_cocaine_R2,2022/04/04,ARIA III,2022/04/17,Pool_2
d14_cocaine_R3,2022/04/04,ARIA FUSION,2022/04/17,Pool_2
h24_cocaine_R3,2022/04/05,ARIA III,2022/04/17,Pool_2
m30_cocaine_R1,2022/04/05,ARIA FUSION,2022/04/17,Pool_2
