human_gene	disease	onset
ALAD	ALS	Risk
ALS2	ALS	Risk
ANG	ALS	Risk
APEX1	ALS	Risk
APOE	ALS	Risk
AR	ALS	Risk
ATXN2	ALS	Risk
C9orf72	ALS	Risk
CCS	ALS	Risk
CNTF	ALS	Risk
CYP2D6	ALS	Risk
DCTN1	ALS	Risk
DHFR	ALS	Risk
DPP6	ALS	Risk
DYNC1H1	ALS	Risk
EPO	ALS	Risk
FIG4	ALS	Risk
FUS	ALS	Risk
GARS	ALS	Risk
HFE	ALS	Risk
KIFAP3	ALS	Risk
LIF	ALS	Risk
MAOB	ALS	Early
MAPT	ALS	Risk
NEFH	ALS	Risk
NOS3	ALS	Risk
OPTN	ALS	Risk
PON1	ALS	Risk
PON2	ALS	Risk
PON3	ALS	Risk
PRPH	ALS	Risk
PSEN1	ALS	Risk
PVR	ALS	Risk
SETX	ALS	Juvenile
SLC11A2	ALS	Risk
SLC1A2	ALS	Risk
SMN1	ALS	Risk
SMN2	ALS	Risk
SOD1	ALS	Risk
SOD2	ALS	Risk
SPAST	ALS	Early
TARDBP	ALS	Risk
UBQLN2	ALS	Risk
VAPB	ALS	Risk
VCP	ALS	Risk
VDR	ALS	Risk
VEGFA	ALS	Risk

