human_gene	disease	onset
A2M	PD	Early
ACE	PD	Risk
ADH1C	PD	Late
ADH4	PD	Risk
ATP1A3	PD	Early
ATXN2	PD	Risk
ATXN3	PD	Risk
ATXN8OS	PD	Risk
CALB1	PD	Risk
CASP9	PD	Risk
CCK	PD	Risk
CCKAR	PD	Risk
CCKBR	PD	Risk
CDKN2C	PD	Risk
COMT	PD	Risk
CYP1A1	PD	Risk
CYP2D6	PD	Risk
DBH	PD	Risk
DLST	PD	Risk
DRD2	PD	Risk
DYT3	PD	Risk
E2F1	PD	Risk
ELAVL4	PD	Risk
ESR1	PD	Risk
ESR2	PD	Risk
FAM47E	PD	Risk
FAM47E	PD	Risk
FAM47E	PD	Risk
FAM47E	PD	Risk
FAM47E	PD	Risk
FAM47E	PD	Risk
FAM47E	PD	Risk
FAM47E	PD	Risk
FBXO7	PD	Early
FGF20	PD	Risk
GALNT3	PD	Risk
GBA	PD	Late
GIGYF2	PD	Risk
GSTM1	PD	Early
GSTP1	PD	Risk
HIVEP3	PD	Risk
HP	PD	Risk
HSPA9	PD	Risk
HTRA2	PD	Risk
IGF2	PD	Risk
IL10	PD	Risk
IL1B	PD	Risk
IL8	PD	Risk
INS	PD	Risk
IREB2	PD	Risk
LRRK1	PD	Risk
LRRK2	PD	Late Onset
MAOA	PD	Risk
MAOB	PD	Risk
MAPT	PD	Late
MC1R	PD	Risk
MIR133B	PD	Risk
MT-ND2	PD	Risk
MT-ND5	PD	Risk
MTHFD1	PD	Risk
MTHFR	PD	Risk
MTIF3	PD	Risk
MTR	PD	Risk
NAT1	PD	Risk
NAT2	PD	Risk
NDUFA1	PD	Risk
NEDD9	PD	Risk
NOS3	PD	Risk
NUCKS1	PD	Risk
NUCKS1	PD	Risk
NUCKS1	PD	Risk
NUCKS1	PD	Risk
NUCKS1	PD	Risk
NUCKS1	PD	Risk
NUCKS1	PD	Risk
NUCKS1	PD	Risk
PARK2	PD	Early
PARK3	PD	Risk
PARK7	PD	Early
PARP1	PD	Risk
PASD1	PD	Risk
PINK1	PD	Early
PITX3	PD	Early
PITX3	PD	Early
PITX3	PD	Early
PITX3	PD	Early
PITX3	PD	Early
PITX3	PD	Early
PITX3	PD	Early
PITX3	PD	Early
PLA2G6	PD	Risk
PON1	PD	Risk
PON2	PD	Risk
PRDM2	PD	Risk
PRKRA	PD	Risk
PTGS2	PD	Risk

